Id,COMM_CODE,Community_Name,Funded_services,HACC_services,Health_or_Human_services,Dental_sites,Primary_schools,Distance_Service,Number_of_households,Rank_funded,Rank_HACC,Rank_HH_services,Rank_dental,Rank_school,Rank_distance,Rank_household,DHS_Region,Area,Local_Government_Area,Population_density,Nearest_Health_Service,Residential,Business,Industrial,Rural,Other,Persons_per_household,People_In_non_private_dwellings,Public_rental_dwellings,Unemployed_persons,Persons_above_75_living_alone,Main_cultural_group_1_name,Main_cultural_group_1_percentage,Main_cultural_group_2_name,Main_cultural_group_2_percentage,Main_cultural_group_3_name,Main_cultural_group3_percentage
18,T018,Baranduda,1,0,2,0,1,11,416,197,197,165,164,198,122,251,Hume,2.9,Wodonga (RC),589.7,Wodonga Hospital,88.70%,0.00%,0.00%,0.40%,11.00%,3.4,0.00%,2.40%,3.60%,0.00%,ANGLO SAXON AND CELTIC,82.30%,GERMAN,7.30%,assets/towns/Baranduda.jpg,"It is primarily urban with the vast majority of its population living in the Greater Wodonga urban area, while other significant settlements within the LGA include Bandiana and Bonegilla."
19,T019,Barnawartha,0,0,1,0,1,23,176,7,7,116,116,166,271,166,Hume,2.6,Indigo (S),199.1,Wodonga Hospital,40.30%,0.00%,0.00%,20.90%,38.80%,3.1,0.00%,0.00%,5.00%,0.70%,ANGLO SAXON AND CELTIC,88.50%,GERMAN,4.20%,assets/towns/Barnawartha.jpg,"Barnawartha is a small town located on the Hume Highway in regional north-east Victoria, Australia, approximately 299 kilometres (186 mi) from Melbourne on the banks of Indigo Creek which runs into the Murray River to the north."
20,T020,Batesford,0,0,0,0,0,12,149,8,8,4,4,2,139,144,Grampians,4.3,Golden Plains (S),158.1,The Geelong Hospital,63.60%,0.00%,0.00%,32.60%,3.80%,3.6,0.00%,0.00%,1.20%,0.00%,ANGLO SAXON AND CELTIC,69.00%,GERMAN,8.10%,assets/towns/Batesford.jpg,"Batesford is a small township located approximately 10 kilometres west of Geelong and 67 kilometres south-west of the state capital, Melbourne. It is located on the banks of the Moorabool River and on the Midland Highway. The town is divided between the City of Greater Geelong and Golden Plains Shire."
21,T021,Beaconsfield Upper,0,0,6,0,1,11,426,9,9,216,215,238,127,256,Southern Metropolitan,6,Cardinia (S),243.1,Casey Hospital,13.90%,0.20%,0.00%,79.90%,6.00%,3.3,3.60%,0.00%,2.10%,0.50%,ANGLO SAXON AND CELTIC,84.80%,GERMAN,3.60%,assets/towns/Beaconsfield Upper.jpg,"Beaconsfield Upper is a town in Victoria, Australia, 45 km south-east of Melbourne's Central Business District, located within the Shire of Cardinia local government area. Beaconsfield Upper recorded a population of 2,861 at the 2016 Census."
22,T022,Bealiba,0,0,0,0,1,21,49,10,10,5,5,116,237,10,Loddon Mallee,1.2,Central Goldfields (S),109.6,Maryborough District Health Service (Dunolly),34.30%,0.00%,0.00%,44.50%,21.20%,2.4,0.00%,0.00%,7.70%,8.30%,ANGLO SAXON AND CELTIC,94.90%,CENTRAL EUROPEAN,2.60%,assets/towns/Bealiba.jpg,"Bealiba is a town in the Australian state of Victoria. The town is located in the Central Goldfields Shire local government area, 207 kilometres (129 mi) north-west of the state capital, Melbourne, and 74 kilometres (46 mi) from the regional city of Bendigo. At the 2011 census, Bealiba and the surrounding area had a population of 300."
23,T023,Beaufort,24,14,32,0,1,0,450,349,352,340,307,288,25,264,Grampians,5.6,Pyrenees (S),198.8,Beaufort & Skipton Health Service (Beaufort),39.40%,1.20%,7.50%,26.10%,25.80%,2.4,3.10%,2.30%,7.80%,6.10%,ANGLO SAXON AND CELTIC,91.70%,GERMAN,1.60%,assets/towns/Beaufort.jpg,"Beaufort is a town in Victoria, Australia. It is located on the Western Highway midway between Ararat and Ballarat, in the Pyrenees Shire local government area. It is 387 metres (1,270 ft) above sea level. At the 2016 census, Beaufort had a population of 1,539. The town takes its name either from Rear-Admiral Francis Beaufort or a Welsh village in Monmouthshire."
24,T024,Beeac,3,0,2,0,1,19,89,280,269,180,179,212,219,73,Barwon-South Western ,1.4,Colac-Otway (S),158.1,Colac Area Health,34.30%,0.00%,0.00%,53.70%,12.00%,2.3,0.00%,0.00%,3.80%,1.40%,ANGLO SAXON AND CELTIC,87.90%,GERMAN,4.60%,assets/towns/Beeac.jpg,"Beeac is a town in the Western District of Victoria, Australia. The town is located on the shore of the hyper-saline Lake Beeac in the Colac Otway Shire local government area, 160 kilometres southwest of the state capital, Melbourne. "
25,T025,Beechworth,33,14,16,0,3,2,1047,360,354,274,268,354,82,323,Hume,8.5,Indigo (S),340.7,Beechworth Health Service,50.60%,1.50%,3.20%,16.00%,28.60%,2.5,2.90%,3.40%,4.50%,3.40%,ANGLO SAXON AND CELTIC,84.40%,GERMAN,5.70%,assets/towns/Beechworth.jpg,"Beechworth is a well-preserved historical town located in the north-east of Victoria, Australia, famous for its major growth during the gold rush days of the mid-1850s. Beechworth's many historical buildings are well preserved and the town has re-invented itself and evolved into a popular tourist destination and growing wine-producing centre."
26,T026,Bellbridge,0,0,2,0,0,15,138,11,11,147,147,73,177,135,Hume,0.4,Towong (S),1017.8,Albury Hospital,83.90%,0.00%,0.00%,1.20%,14.90%,2.7,0.00%,0.00%,0.00%,2.40%,ANGLO SAXON AND CELTIC,81.10%,CENTRAL EUROPEAN,3.60%,assets/towns/Bellbridge.jpg,"Bellbridge is a small town in the state of Victoria. Overlooking the Lake Hume and located near the Bethanga Bridge, Bellbridge is a popular destination for local tourists, especially from the nearby towns of Albury and Wodonga who often come to the Weir to water ski. The local Hume Boat Club holds an annual get-together for water skiers from across Victoria."
27,T027,Benalla,56,26,49,2,5,1,3728,372,380,368,365,375,52,370,Hume,23.5,Benalla (RC),408.6,Benalla and District Memorial Hospital,43.20%,1.50%,13.90%,13.70%,27.70%,2.5,1.90%,7.10%,6.70%,4.20%,ANGLO SAXON AND CELTIC,84.40%,GERMAN,4.40%,assets/towns/Benalla.jpg,"Benalla is a small city located on the Broken River in the High Country north-eastern region of Victoria, Australia, about 212 kilometres (130 mi) north east of the state capital Melbourne. "
28,T028,Berriwillock,0,0,0,0,0,21,57,12,12,6,6,3,239,19,Loddon Mallee,1,Buloke (S),117.3,Sea Lake & District Hospital,45.60%,0.00%,0.00%,25.30%,29.10%,2.2,0.00%,0.00%,10.30%,4.80%,ANGLO SAXON AND CELTIC,95.70%,HISPANIC,1.40%,assets/towns/Berriwillock.jpg,"Berriwillock is a town in the Mallee region in the north-west of the Australian state of Victoria. Berriwillock is 332 kilometres (206 mi) north-west of the state capital, Melbourne. Nearby towns include Boigbeat (about 11 kilometres (6.8 mi) north west and Culgoa 11 kilometres (6.8 mi) south east."
29,T029,Bethanga,0,0,0,0,1,22,75,13,13,7,7,117,258,46,Hume,1.1,Towong (S),209.8,Albury Hospital,66.20%,0.00%,0.00%,0.00%,33.80%,2.9,0.00%,0.00%,3.30%,1.40%,ANGLO SAXON AND CELTIC,88.10%,GERMAN,6.70%,assets/towns/Bethanga.jpg,"Bethanga is a town in north-eastern Victoria, Australia in the Shire of Towong local government area, 390 kilometres (242 mi) from the state capital, Melbourne. At the 2006 census, Bethanga had a population of 589 and gives its name to the Bethanga Bridge."
30,T030,Beulah,1,0,13,0,1,25,86,198,198,260,255,264,289,69,Grampians,0.9,Yarriambiack (S),231.8,Rural Northwest Health (Hopetoun),52.90%,0.00%,0.00%,5.60%,41.50%,2.7,0.00%,5.70%,10.20%,6.10%,ANGLO SAXON AND CELTIC,83.80%,GERMAN,8.40%,assets/towns/Beulah.jpg,"Beulah is a town in the southern Mallee region of Victoria, Australia. The town is in the Shire of Yarriambiack local government area, 395 kilometres north-west of the state capital, Melbourne. "
31,T031,Beveridge,0,0,0,0,1,16,98,14,14,8,8,118,191,87,Hume,3.3,Mitchell (S),125.8,Craigieburn Health Service,22.50%,0.20%,0.00%,1.20%,76.10%,3.6,0.00%,0.00%,8.40%,0.00%,ANGLO SAXON AND CELTIC,82.50%,ITALIAN,7.50%,assets/towns/Beveridge.jpg,"Beveridge is a town in Victoria, Australia, located along the Hume Highway, 42 kilometres north of Melbourne. It is governed by the City of Whittlesea and Mitchell Shire."
32,T032,Birchip,0,0,21,0,0,0,284,15,15,301,288,102,7,218,Loddon Mallee,3.7,Buloke (S),180.9,East Wimmera Health Service (Birchip),20.80%,2.10%,9.40%,34.00%,33.70%,2.4,1.80%,5.30%,5.10%,6.00%,ANGLO SAXON AND CELTIC,93.90%,GERMAN,2.40%,assets/towns/Birchip.jpg,"Birchip is a town in the Mallee region of Victoria, Australia on the Sunraysia Highway north of Donald. The town is located in the Shire of Buloke local government area. It has a P-12 school, and an Australian rules football club called Birchip-Watchem, also known as the Birchip-Watchem Bulls, or just the ""Bulls""."
33,T033,Birregurra,1,0,12,0,1,20,197,199,199,251,249,259,225,176,Barwon-South Western ,2.1,Colac-Otway (S),249.8,Colac Area Health,49.30%,0.00%,0.00%,35.30%,15.40%,2.4,0.00%,0.00%,4.60%,4.40%,ANGLO SAXON AND CELTIC,88.20%,GERMAN,4.70%,assets/towns/Birregurra.jpg,"Birregurra is a town in Victoria, Australia approximately 130 kilometres (81 mi) south-west of Melbourne. The town is divided between the Shire of Colac Otway and the Surf Coast Shire. Birregurra is an Aboriginal word thought to mean ‘kangaroo camp'."
34,T034,Blackwood,0,0,0,0,0,30,101,16,16,9,9,4,327,92,Grampians,5.9,Moorabool (S),38.1,Djerriwarrh Health Services (Bacchus Marsh),27.10%,0.00%,0.00%,5.70%,67.20%,2.4,0.00%,0.00%,6.00%,4.10%,ANGLO SAXON AND CELTIC,80.90%,GERMAN,4.30%,assets/towns/Blackwood.jpg,"Blackwood is a township in Victoria, Australia. The township is located on the Lerderderg River, 89 kilometres north west of the state capital, Melbourne. Situated in The Wombat State Forest. Blackwood is in the Shire of Moorabool local government area.The town currently consists of a pub, a coffee roastery & cafe, a post office / general store, an antique store, a design studio, various holiday cottages, a holiday park, a bed and breakfast and a plant nursery / cafe at The Garden of St Erth."
35,T035,Blind Bight,0,0,0,0,0,13,361,17,17,10,10,5,151,244,Southern Metropolitan,0.5,Casey (C),2343.6,Cranbourne Integrated Care Centre,88.50%,0.00%,0.00%,11.20%,0.30%,3.6,0.00%,0.00%,4.40%,0.00%,ANGLO SAXON AND CELTIC,80.90%,DUTCH,3.40%,assets/towns/Blind Bight.jpg,"Blind Bight (the Victorian Bayou) is a town in Victoria, Australia, 55 km south-east from Melbourne's central business district on the large bay of Western Port. Its local government area is the City of Casey. Blind Bight is a mangrove area, offering birdwatching opportunities and walking tracks along the foreshore and in surrounding bushland. "
36,T036,Bonnie Doon,0,0,1,0,0,21,60,18,18,117,117,64,240,20,Hume,1.5,Mansfield (S),107.1,Mansfield District Hospital,31.00%,2.40%,0.00%,5.40%,61.20%,2.4,2.80%,0.00%,13.20%,6.20%,ANGLO SAXON AND CELTIC,85.00%,GERMAN,5.60%,assets/towns/Bonnie Doon.jpg,"Bonnie Doon is a small village in Victoria, Australia. It is located on the Maroondah Highway, in the Shire of Mansfield. Bonnie Doon is 168 kilometres north-east from Melbourne. The township was established subsequent to gold discoveries in the area. It was originally named Doon after the town of that name in Ireland. "
37,T037,Boolarra,0,0,2,0,1,29,207,19,19,148,148,187,323,187,Gippsland,3.8,Latrobe (C),145.2,Latrobe Regional Hospital,27.70%,0.00%,0.00%,37.30%,35.10%,2.7,0.00%,2.40%,7.20%,2.70%,ANGLO SAXON AND CELTIC,86.40%,GERMAN,4.20%,assets/towns/Boolarra.jpg,"Boolarra is a small township located in the Latrobe Valley, in central Gippsland, Victoria, Australia. The Boolarra Folk Festival is held in the town every year in March and attracts music lovers from around Australia and the world. The town is also infamous for producing the Boolarra strain of carp (Cyprinus carpio) which, after their release into the Murray River near Mildura, spread throughout Australia."
38,T038,Boort,7,0,25,2,0,2,304,302,284,315,358,112,79,228,Loddon Mallee,3.6,Loddon (S),224,Boort District Hospital,32.90%,0.00%,1.90%,16.60%,48.60%,2.5,5.10%,1.30%,3.90%,5.50%,ANGLO SAXON AND CELTIC,90.80%,GERMAN,2.70%,assets/towns/Boort.jpg,"Boort is a town in Victoria, Australia, located next to Lake Boort, in the Shire of Loddon. The town is known for its native birdlife. Boort is a local Aboriginal word meaning ""Smoke from the hill"". Main sources of employment are retail, olive processing and tourism. Agriculture is a major industry and employer in the Boort region. Produce includes cereal crops, tomatoes, canola, olives and wool."
39,T039,Briagolong,0,0,1,0,1,19,207,20,20,118,118,167,216,186,Gippsland,1.2,Wellington (S),523,Central Gippsland Health Service (Maffra),82.80%,0.00%,0.00%,13.80%,3.40%,2.7,0.00%,0.00%,6.90%,1.90%,ANGLO SAXON AND CELTIC,88.80%,GERMAN,3.50%,assets/towns/Briagolong.jpg,"Briagolong is a town in the Australian state of Victoria, located 20 kilometres north of Maffra and some 270 kilometres east of Melbourne, in the Shire of Wellington region of Gippsland. The town in conjunction with neighbouring township Boisdale has an Australian Rules football team Boisdale-Briagolong competing in the East Gippsland Football League."
40,T040,Bridgewater,0,0,0,0,1,8,150,21,21,11,11,119,112,146,Loddon Mallee,2.1,Loddon (S),183,Inglewood and District Health Service,48.90%,0.00%,0.40%,21.10%,29.60%,2.7,0.00%,3.90%,4.00%,3.70%,ANGLO SAXON AND CELTIC,88.70%,GERMAN,4.50%,assets/towns/Bridgewater.jpg,"Bridgewater On Loddon is a town in north central Victoria, Australia. The town is located on the Calder Highway, north west of Bendigo, astride the Loddon River.The Loddon Shire covers an area of approximately 6,700 square kilometres making it the seventh largest municipality (in area) in Victoria."
41,T041,Bright,20,14,36,0,0,1,842,338,350,352,311,108,35,313,Hume,7.8,Alpine (S),291.8,Alpine Health (Bright),45.50%,1.70%,1.90%,13.30%,37.60%,2.5,4.20%,3.40%,3.60%,3.70%,ANGLO SAXON AND CELTIC,79.40%,GERMAN,6.10%,assets/towns/Bright.jpg,"Bright (pronunciation [ˈbɹɑet̥]) is a town in northeastern Victoria, Australia, 319 metres above sea level at the southeastern end of the Ovens Valley. It is in the Alpine Shire local government area."
42,T042,Broadford,22,2,42,0,1,15,1096,345,328,361,313,290,179,328,Hume,9.1,Mitchell (S),370.2,Kilmore and District Hospital,45.00%,1.10%,5.80%,21.10%,26.90%,2.9,0.00%,2.20%,5.70%,1.80%,ANGLO SAXON AND CELTIC,85.40%,GERMAN,4.50%,assets/towns/Broadford.jpg,"Broadford is a small town in central Victoria, Australia. he town is the headquarters of the Shire of Mitchell local government area and is approximately 73 kilometres (50 mi) north of the state capital, Melbourne."
43,T043,Bruthen,0,0,6,0,1,25,245,22,22,217,216,239,290,204,Gippsland,8.6,East Gippsland (S),82.8,Bairnsdale Regional Health Service,15.20%,0.00%,0.00%,59.90%,25.00%,2.6,0.00%,0.00%,4.00%,3.10%,ANGLO SAXON AND CELTIC,85.60%,GERMAN,5.40%,assets/towns/Bruthen.jpg,"Bruthen is a small town located alongside the Tambo River between Bairnsdale and Ensay on the Great Alpine Road in East Gippsland, Victoria, Australia. Bruthen is 26 km (16 mi) east of Bairnsdale and 311 km (193 mi) east of the state capital Melbourne."
44,T044,Buchan,2,0,5,0,1,57,54,250,247,210,209,234,385,16,Gippsland,3.5,East Gippsland (S),36.3,Orbost Regional Health,36.20%,0.00%,0.00%,33.20%,30.60%,2.2,0.00%,0.00%,15.30%,5.10%,ANGLO SAXON AND CELTIC,82.00%,DUTCH,5.60%,assets/towns/Buchan.jpg,"Buchan is a town in the east Gippsland region of Victoria, Australia. The town is situated adjacent to the Buchan River, in the Shire of East Gippsland, upstream from the river's junction with the Snowy River."
45,T045,Bulla,0,0,0,0,0,10,119,23,23,12,12,6,120,123,North & West Metropolitan,1.8,Hume (C),234.3,Sunbury Day Hospital,21.10%,0.00%,0.00%,66.90%,12.00%,3.5,0.00%,0.00%,2.70%,1.40%,ANGLO SAXON AND CELTIC,67.90%,ITALIAN,14.60%,assets/towns/Bulla.jpg,"Bulla is a locality and township of Melbourne, Victoria, Australia, 29 kilometres (18 mi) north-west from Melbourne's central business district. Its local government area is the City of Hume. "
46,T046,Bundalong,0,0,0,0,0,16,110,24,24,13,13,7,190,107,Hume,3.8,Moira (S),89.9,Yarrawonga District Health Service,36.10%,0.00%,0.00%,26.90%,37.00%,2.8,0.00%,0.00%,2.30%,1.30%,ANGLO SAXON AND CELTIC,90.00%,GERMAN,2.90%,assets/towns/Bundalong.jpg,"Bundalong is a town in Victoria, Australia located on the Murray River and the Murray Valley Highway, east of Yarrawonga. Bundalong is in the Shire of Moira local government area, with the name ""Bundalong"" being the Aboriginal word for ""joined together"". The towns farming sites include wheat plantations."
